,origin,cases
0,Italia,10
1,Espana,252
2,Colombia,2665
3,Estados Unidos De America,195
4,Ecuador,48
5,Francia,15
6,Turquia,27
7,Alemania,10
8,Brasil,19
9,Croacia,1
10,Panama,30
11,Jamaica,17
12,Grecia,3
13,Mexico,44
14,Guatemala,2
15,Londres,8
16,Republica Dominicana,9
17,Inglaterra,5
18,Isla San Martin,7
19,Puerto Rico,12
20,Chile,2
21,Canada,4
22,Costa Rica,2
23,Venezuela,3
24,Egipto,9
25,Cuba,2
26,Europa,2
27,Emiratos Arabes,1
28,Belgica,1
29,Argentina,3
30,Marruecos,2
31,Aruba,2
32,Suiza,1
33,Peru,7
34,Arabia,1
35,Australia,1
36,Dubai,1
37,Honduras,1
38,Curazao,1
39,Irlanda,1
40,Israel,4
41,Kenia,1
42,Reino Unido De Gran Bretana E Irlanda Del,1
43,Paris,1
44,Uruguay,1
45,Estados Unidos,4
